generation,best_fitness,mean_fitness,fitness_std,best_completion_ratio,best_mean_response,best_energy,jobs_in_snapshot,satellites_in_snapshot,stagnation_generations,world_reset
137,0.6,0.5541028323141294,0.0930230450483763,1.0,23.4,336.0,20,10,4,0
138,0.6,0.5430795847750864,0.09882195144592865,1.0,23.4,336.0,20,10,5,0
139,0.6,0.5646553945249597,0.08057317000674533,1.0,23.4,336.0,20,10,6,0
140,0.6,0.5560119047619048,0.08357369789355744,1.0,23.4,336.0,20,10,7,0
141,0.6,0.5486225490196078,0.08931109654868127,1.0,23.4,336.0,20,10,8,0
142,0.6,0.5616348261822737,0.08515096269090157,1.0,23.4,336.0,20,10,9,0
143,0.6,0.5523741742686379,0.09165465855213228,1.0,23.4,336.0,20,10,0,1
144,0.6,0.553040458937198,0.09037014006168588,1.0,23.4,336.0,20,10,0,0
145,0.6,0.5512527762354247,0.08841275400394016,1.0,23.4,336.0,20,10,1,0
146,0.6,0.566250700280112,0.07617647111611697,1.0,23.4,336.0,20,10,2,0
147,0.6,0.5594607843137255,0.08190603270931655,1.0,23.4,336.0,20,10,3,0
148,0.6,0.5546960022209884,0.08520219118251932,1.0,23.4,336.0,20,10,4,0
149,0.6,0.5555266106442577,0.08450459383476808,1.0,23.4,336.0,20,10,5,0
150,0.6,0.5672971014492753,0.07932927112991903,1.0,23.4,336.0,20,10,6,0
151,0.6,0.5738880150990877,0.07188804684429415,1.0,23.4,336.0,20,10,7,0
152,0.6,0.5541435574229692,0.08373829296576796,1.0,23.4,336.0,20,10,8,0
153,0.6,0.5420813204508856,0.09983073661902933,1.0,23.4,336.0,20,10,9,0
154,0.6,0.5490772980501393,0.08956530859949935,1.0,23.4,336.0,20,10,0,1
155,0.6,0.5673666053357865,0.07849136725728696,1.0,23.4,336.0,20,10,0,0
156,0.6,0.5627241270839887,0.08252842301130774,1.0,23.4,336.0,20,10,1,0
157,0.6,0.5642631330607109,0.08370730642632158,1.0,23.4,336.0,20,10,2,0
158,0.6,0.5485460251046025,0.09651288957267645,1.0,23.4,336.0,20,10,3,0
159,0.6,0.5451932251908397,0.09714172684516052,1.0,23.4,336.0,20,10,4,0
160,0.6,0.567145732689211,0.07954957751744386,1.0,23.4,336.0,20,10,5,0
